,URL,Вопрос,Ответ
121,http://www.cbr.ru/Reception/TopicalMessage/Page/2763,В каких случаях можно расторгнуть договор ОСАГО досрочно?,"Досрочно расторгнуть договор ОСАГО можно в любое время, пока он действует. Но страховая компания не во всех случаях вернет часть страховой премии за не истекший срок страхования. Так, часть премии должна быть возвращена страхователю, например, если договор ОСАГО досрочно прекращает действовать по причине замены собственника или гибели транспортного средства."
122,http://www.cbr.ru/Reception/TopicalMessage/Page/2764,Что необходимо предпринять для расторжения договора ОСАГО?,"Для расторжения договора ОСАГО необходимо подать в страховую организацию заявление о расторжении договора, приложив к нему оригинал договора страхования (полис), либо направить заявление о расторжении в электронной форме через личный кабинет страхователя. В заявлении необходимо указать основания расторжения (отзыв лицензии страховщика; замена собственника транспортного средства; иные случаи, предусмотренные законом), приложив подтверждающие документы. Также необходимо указать ФИО, паспортные данные заявителя, банковские реквизиты для перечисления денежных средств, почтовый адрес, контактный телефон."
123,http://www.cbr.ru/Reception/TopicalMessage/Page/2765,В каких случаях не возвращается страховая премия при досрочном расторжении договора ОСАГО?,"В случае досрочного прекращения действия договора ОСАГО по причине ликвидации юридического лица ‒ страхователя, при выявлении ложных или неполных сведений, представленных страхователем при заключении договора, имеющих существенное значение для определения степени страхового риска, а также в иных случаях, предусмотренных законодательством, часть страховой премии по договору страхователю не возвращается."
124,http://www.cbr.ru/Reception/TopicalMessage/Page/2766,Возможно ли расторжение договора ОСАГО без моего (страхователя) согласия?,"Страховщик вправе досрочно прекратить действие договора ОСАГО, если выявит, что вами при заключении договора были предоставлены ложные или неполные сведения, имевшие существенное значение для определения степени страхового риска, а также в иных случаях, предусмотренных законодательством. При этом часть страховой премии за неистекший срок действия договора не возвращается."
125,http://www.cbr.ru/Reception/TopicalMessage/Page/2767,Какую часть страховой премии страховая компания возвращает в случае досрочного расторжения договора ОСАГО?,"В установленных законом случаях страховщик возвращает страхователю часть страховой премии в размере ее доли, предназначенной для страхового возмещения и приходящейся на неистекший срок действия договора ОСАГО или неистекший срок сезонного и иного временного использования транспортного средства."
126,http://www.cbr.ru/Reception/TopicalMessage/Page/2768,"Что делать, если в городе (селе, деревне и т.д.) отсутствует пункт урегулирования убытков страховщика по ОСАГО?","Если в вашем населенном пункте отсутствует пункт урегулирования убытков страховщика, вы можете направить заявление с требованием о страховой выплате или прямом возмещении убытков страховщику по его адресу или по адресу его представителя, уполномоченного страховщиком на рассмотрение требований потерпевших. К заявлению следует приложить все документы, предусмотренные Правилами ОСАГО. Сведения о местонахождении и почтовом адресе страховщика, а также всех его представителей, о способах связи с ними можно получить на официальном сайте страховой организации."
127,http://www.cbr.ru/Reception/TopicalMessage/Page/2770,Какие документы предоставляются с заявлением о страховой выплате в случае причинения вреда здоровью?,Для получения страховой выплаты в связи с причинением вреда здоровью к заявлению о страховой выплате потерпевшим дополнительно предоставляются:
128,http://www.cbr.ru/Reception/TopicalMessage/Page/2772,"Что делать, когда сумма страхового возмещения недостаточна для полного возмещения вреда потерпевшему?",
129,http://www.cbr.ru/Reception/TopicalMessage/Page/2773,"Какова страховая сумма, в пределах которой страховщик при наступлении каждого страхового случая обязуется возместить потерпевшим причиненный вред?",
130,http://www.cbr.ru/Reception/TopicalMessage/Page/2774,Какой общий размер неустойки (пени) суммы финансовой санкции выплачивается потерпевшему?,
131,http://www.cbr.ru/Reception/TopicalMessage/Page/2775,Куда обращаться потерпевшему для получения страховой выплаты по ОСАГО в случае приостановления/ограничения действия лицензии страховой организации?,"При ограничении и приостановлении действия лицензии страховщик не вправе заключать новые договоры, а также вносить в действующие договоры изменения, которые влекут увеличение обязательств, но обязан выполнять условия уже заключенных договоров."
132,http://www.cbr.ru/Reception/TopicalMessage/Page/2776,Куда обращаться потерпевшему для получения страховой выплаты по ОСАГО в случае отзыва лицензии страховой организации?,"В случае отзыва лицензии страховой организации, застраховавшую гражданскую ответственность виновника, вы (потерпевший) вправе обратиться в Российский союз автостраховщиков с заявлением о компенсационной выплате по договору обязательного страхования гражданской ответственности владельцев транспортных средств."
133,http://www.cbr.ru/Reception/TopicalMessage/Page/2777,Куда обращаться с вступившим в законную силу судебным актом в отношении страховщика?,"Вы вправе направить исполнительный лист, отвечающий необходимым требованиям, для исполнения в кредитную организацию, в которой обслуживаются счета должника, одновременно представив заявление взыскателя с указанием сведений, предусмотренных частью 2 статьи 8 Закона об исполнительном производстве. Для того чтобы установить счета должника при наличии исполнительного листа с неистекшим сроком предъявления к исполнению, вы можете самостоятельно обратиться в налоговый орган с заявлением о представлении сведений о наименовании и местонахождении кредитных организаций, в которых открыты счета должника, о номерах расчетных счетов и другой информации (части 8, 9 статьи 69 Закона об исполнительном производстве). Также можно обратиться в Федеральную службу судебных приставов и ее территориальные органы."
134,http://www.cbr.ru/Reception/TopicalMessage/Page/2779,"Куда обращаться в случае наступления страхового случая, если судом вынесено решение о признании страховой организации, выдавшей полис ОСАГО, несостоятельной (банкротом) и введении в отношении нее конкурсного производства?","При наступлении страхового случая по действующему договору ОСАГО в случае, если страховая организация признана несостоятельной (банкротом), ее клиент вправе обратиться с заявлением в страховую организацию виновника ДТП, приложив необходимые документы. В случае если соблюдены условия прямого возмещения, следует обратиться с заявлением к своему страховщику, приложив необходимые документы, даже если Банк России отозвал лицензию у страховой организации виновника ДТП."
135,http://www.cbr.ru/Reception/TopicalMessage/Page/2780,Где получить сведения о страховании (был убыток или нет) и в какой срок?,"Страховая организация, в которой Вы были застрахованы, по договору ОСАГО предоставляет Вам бесплатно в пятидневный срок сведения о страховании после того, как Вы в письменной форме обратитесь к ней с таким требованием (п. 1.17 Правил обязательного страхования гражданской ответственности владельцев транспортных средств, утвержденных Положением Банка России от 19.09.2014 № 431-П)."
136,http://www.cbr.ru/Reception/TopicalMessage/Page/2781,Как устанавливаются обстоятельства ДТП и определяется размер ущерба в связи с повреждением имущества?,"Для того чтобы установить обстоятельства причинения вреда и определить размер подлежащих возмещению убытков в связи с повреждением имущества, проводится независимая техническая экспертиза (НТЭ), независимая экспертиза (НЭ). Потерпевший в течение 5 рабочих дней с даты подачи заявления о страховом возмещении или прямом возмещении убытков и прилагаемых к нему документов обязан представить поврежденное транспортное средство или его остатки для осмотра и/или НТЭ, а страховщик ‒ провести осмотр поврежденного имущества и/или организовать НТЭ, НЭ."
137,http://www.cbr.ru/Reception/TopicalMessage/Page/2782,Каков срок проведения экспертизы для получения выплат по ОСАГО?,"Страховщик обязан осмотреть поврежденное транспортное средство, иное имущество или его остатки и/или организовать их независимую техническую экспертизу (НТЭ), независимую экспертизу (НЭ) в срок не более чем 5 рабочих дней со дня поступления заявления о страховом возмещении или прямом возмещении убытков с приложением необходимых документов, и ознакомить потерпевшего с результатами осмотра и НТЭ, НЭ, если иной срок не согласован сторонами. Страховщик организует НТЭ, НЭ в случае наличия противоречий между ним и потерпевшим относительно характера и перечня видимых повреждений имущества в результате ДТП и/или обстоятельств причинения вреда в связи с повреждением имущества."
138,http://www.cbr.ru/Reception/TopicalMessage/Page/2783,Как получить результаты осмотра по ОСАГО?,"После проведения экспертизы страховщик обязан способом, который вы указали в заявлении о возмещении, ознакомить вас с результатами осмотра и/или независимой технической экспертизы, независимой экспертизы (оценки)."
139,http://www.cbr.ru/Reception/TopicalMessage/Page/2784,Обязан ли страховщик согласовывать с потерпевшим время и место проведения осмотра и (или) организации независимой экспертизы?,"Страховщик обязан согласовать с потерпевшим время и место проведения осмотра и/или независимой технической экспертизы (НТЭ), независимой экспертизы (НЭ) поврежденного имущества с учетом графика работы страховщика и эксперта, а потерпевший в согласованное со страховщиком время обязан представить поврежденное имущество."
140,http://www.cbr.ru/Reception/TopicalMessage/Page/2785,"Что делать, если транспортное средство не может быть представлено для осмотра по месту нахождения страховщика и/или эксперта?",
141,http://www.cbr.ru/Reception/TopicalMessage/Page/2786,"Что делать, если страховщик не провел осмотр транспортного средства?","Если страховщик не осмотрел поврежденное имущество (или его остатки) и/или не организовал его независимую техническую экспертизу (НТЭ), независимую экспертизу (НЭ) в установленный срок, потерпевший вправе самостоятельно обратиться за экспертизой. Результаты организованной потерпевшим НТЭ, НЭ принимаются страховщиком для определения размера страхового возмещения."
142,http://www.cbr.ru/Reception/TopicalMessage/Page/2787,"Что делать, если экспертиза не позволяет определить достоверно наличие страхового случая и определить размер убытков?",
143,http://www.cbr.ru/Reception/TopicalMessage/Page/2788,"Может ли страховая организация отказать в выплате, если ремонт поврежденного имущества или утилизация его остатков осуществлены до осмотра?",
144,http://www.cbr.ru/Reception/TopicalMessage/Page/2789,В каких случаях страховщик вправе отказать в выплате страхового возмещения по договору ОСАГО?,
145,http://www.cbr.ru/Reception/TopicalMessage/Page/2790,Произошло ДТП. Гражданская ответственность виновника застрахована в другой страховой компании. Куда я могу обратиться за выплатой: в свою компанию или в компанию виновника?,"По закону об ОСАГО обратиться к своему страховщику за возмещением вреда, причиненного имуществу, можно при наличии одновременно двух обстоятельств:"
146,http://www.cbr.ru/Reception/TopicalMessage/Page/2791,"Что необходимо сделать, чтобы приостановить выплату по полису в случае несогласия с решением ГИБДД об установлении вины?","Для приостановления выплаты страховой организацией до вынесения окончательного решения Вам необходимо письменно уведомить страховую компанию о приостановке выплаты потерпевшему. Постановление о признании виновным должно быть обжаловано в десятидневный срок в вышестоящую инстанцию или суд . Сначала Вы подаете заявление вышестоящему должностному лицу в вышестоящую инстанцию, а далее обращаетесь в суд."
147,http://www.cbr.ru/Reception/TopicalMessage/Page/2792,Кто может заключить договор ОСАГО в виде электронного документа?,"Автовладельцы (физические и юридические лица) могут заключить договор ОСАГО в виде электронного документа. С 01.01.2017 все страховые организации, предоставляющие услугу по заключению договоров ОСАГО, обязаны заключать договоры ОСАГО в виде электронного документа на всей территории Российской Федерации."
148,http://www.cbr.ru/Reception/TopicalMessage/Page/2793,Как оформить электронный договор ОСАГО?,"Для того чтобы заключить электронный договор ОСАГО, владелец транспортного средства (ТС) должен направить страховщику заявление о заключении договора в электронной форме, заполнив его на официальном сайте страховой организации. Заявление содержит сведения, предусмотренные Законом об ОСАГО."
149,http://www.cbr.ru/Reception/TopicalMessage/Page/2794,В каких случаях страховщик вправе приостановить заключение договоров ОСАГО в виде электронных документов?,Страховая организация вправе приостановить заключение договоров ОСАГО в виде электронных документов в следующих случаях:
150,http://www.cbr.ru/Reception/TopicalMessage/Page/2795,"Что делать, если при заключении договора ОСАГО страховая организация навязывает дополнительные виды страхования (жизни, от несчастного случая, имущества)?","Заключение договора ОСАГО не может быть обусловлено покупкой дополнительных страховых услуг. В случае если страховщик отказывается заключить договор без приобретения вами дополнительной услуги либо навязывает такие услуги при заключении договора, рекомендуем фиксировать эти факты не запрещенными законом способами (в том числе с помощью фото-, аудио- или видеоустройств, показания свидетелей), позволяющими сделать вывод о наличии правонарушения (включая информацию о том, где, когда, при каких обстоятельствах и с какой целью производилась запись; электронную дату фиксации нарушения) и направлять в Банк России через интернет-приемную регулятора либо в письменной форме по адресу: 107016, г. Москва, ул. Неглинная, д. 12."
151,http://www.cbr.ru/Reception/TopicalMessage/Page/2796,Кто из водителей может воспользоваться европротоколом?,Воспользоваться европротоколом может любой водитель при соблюдении одновременно следующих условий:
152,http://www.cbr.ru/Reception/TopicalMessage/Page/2797,Какой размер выплаты по европротоколу?,С 1 октября 2019 года при оформлении ДТП по европротоколу лимит страховой выплаты для всех жителей Российской Федерации составляет 400 тысяч рублей.
153,http://www.cbr.ru/Reception/TopicalMessage/Page/2798,Какие документы необходимо представить страховщику для получения страховой выплаты по европротоколу?,"В случае оформления ДТП без участия сотрудников полиции, потерпевший представляет своему страховщику следующие документы и сведения:"
154,http://www.cbr.ru/Reception/TopicalMessage/Page/2799,Как осуществляется фиксация характера и перечня видимых повреждений транспортных средств?,
155,http://www.cbr.ru/Reception/TopicalMessage/Page/2800,Как предоставляются материалы фото- или видеосъемки транспортных средств и их повреждений на месте ДТП?,
156,http://www.cbr.ru/Reception/TopicalMessage/Page/2801,Что должно содержаться в материалах фотосъемки транспортных средств и их повреждений на месте ДТП?,
157,http://www.cbr.ru/Reception/TopicalMessage/Page/2802,Можно ли досрочно расторгнуть со страховой организацией договор добровольного страхования?,Досрочно отказаться от договора добровольного страхования человек может в любой момент до завершения срока его действия (п. 2 ст. 958 ГК РФ). Нужно обратиться с таким заявлением к страховщику. Однако не во всех случаях при досрочном прекращении договора можно частично или полностью вернуть деньги за полис.
158,http://www.cbr.ru/Reception/TopicalMessage/Page/2803,"Что такое период охлаждения, на какие виды страхования он распространяется?","«Период охлаждения» — это время, в течение которого человек может отказаться от договора добровольного страхования и получить от страховщика назад частично или в полном объеме уплаченные за полис деньги."
159,http://www.cbr.ru/Reception/TopicalMessage/Page/2804,При досрочном расторжении договора добровольного страхования будет ли мне возвращена страховая премия?,"При обращении в страховую компанию с отказом от договора добровольного страхования в течение «периода охлаждения» (14 календарных дней с момента заключения договора) уплаченная страховая премия подлежит возврату в полном объеме, если договор не начал свое действие. Если на момент обращения договор уже действует, страховщик вправе удержать часть уплаченной премии пропорционально сроку действия договора. Если на момент обращения договор действует, но произошел страховой случай, премия возврату не подлежит."
160,http://www.cbr.ru/Reception/TopicalMessage/Page/2805,"Куда обращаться при наступлении страхового случая (дорожно-транспортное происшествие, пожар, затопление имущества и прочее)?","При наступлении страхового случая необходимо руководствоваться договором страхования (или правилами страхования, на условиях которых заключен договор и которые были выданы вам при его заключении), который устанавливает порядок действий страхователя в этом случае."
161,http://www.cbr.ru/Reception/TopicalMessage/Page/2806,Что делать в случае отказа страховой организации в выплате страхового возмещения?,"Если ваш спор касается выплаты по ОСАГО (независимо от суммы) или размер вашего спора по любому другому виду страхования не превышает 500 тыс. рублей, направьте в страховую компанию досудебную претензию  с обоснованием своих требований. К ней приложите имеющиеся у вас документы по существу спора (например, копии договора страхования, вашего заявления в страховую компанию, ответа страховой компании и т.д.)."
162,http://www.cbr.ru/Reception/TopicalMessage/Page/2807,Что делать в случае несогласия с суммой выплаты по договору добровольного страхования?,"В случае несогласия с суммой страховой выплаты по страховому случаю, рассчитанной с нарушением условий Правил страхования, в соответствии с которыми заключен договор страхования, Вы можете направить обращение в Банк России. В обращении необходимо указать все имеющиеся по поставленному вопросу сведения (реквизиты договора страхования, сведения о страховом событии, номер выплатного дела и др.). Также рекомендуем приложить копии документов, которые, по Вашему мнению, имеют значение для рассмотрения поставленных Вами вопросов. Также для разрешения возникшего  спора относительно несогласия с суммой страхового возмещения Вы вправе обратиться с заявлением о проведении экспертизы к оценщику, осуществляющему свою деятельность в соответствии с Федеральным законом от 29.07.1998 № 135-ФЗ «Об оценочной деятельности в Российской Федерации», и предъявить страховщику требование о пересмотре его решения, приложив результаты экспертного заключения."
163,http://www.cbr.ru/Reception/TopicalMessage/Page/2808,"Что делать в случае, если страховая организация отказывает в возмещении морального вреда, выплате штрафа, пени (неустойки) за ненадлежащее исполнение обязательств по договору добровольного страхования?","Для взыскания со страховой организации пени (неустойки) за ненадлежащее исполнение обязательств по договору добровольного страхования вы можете направить ей досудебную претензию с обоснованием требований (и необходимыми документами), если их размер не превышает 500 000 рублей и если со дня, когда вы узнали (или должны были узнать) о нарушении своих прав, прошло не более трех лет. В случае если заявленные вопросы не будут решены или страховщик не направит ответ в установленные сроки (не позднее 30 дней со дня получения заявления либо 15 рабочих дней со дня получения заявления, если оно направлено в электронном виде по утвержденной Советом службы финансового уполномоченного форме и со дня нарушения прав прошло не более 180 дней), вы вправе направить обращение финансовому уполномоченному через форму на его сайте или в письменном виде по адресу: 119017, г. Москва, Старомонетный переулок, д. 3 (телефон для справок 8 (800) 200-00-10)."
164,http://www.cbr.ru/Reception/TopicalMessage/Page/2809,"Что делать, если страховая организация не соблюдает сроки рассмотрения заявления о выплате страхового возмещения?","Если страховая организация не соблюдает сроки рассмотрения заявления о выплате страхового возмещения, рекомендуем Вам направить обращение с жалобой на действия страховой организации в Банк России. В обращении необходимо указать все имеющиеся по поставленному вопросу сведения (реквизиты договора страхования, сведения о страховом событии, информацию о подаче заявления о выплате страхового возмещения и др.). Также рекомендуем приложить копии документов, которые, по Вашему мнению, имеют значение для рассмотрения поставленных Вами вопросов. Также Вы можете направить претензию в адрес страховой организации. Обращаем Ваше внимание на изменение процедуры досудебного урегулирования споров между потребителями страховых услуг и страховыми организациями в связи с началом работы уполномоченного по правам потребителей финансовых услуг (финансовый уполномоченный) (Федеральный закон от 04.06.2018 № 123-ФЗ «Об уполномоченном по правам потребителей финансовых услуг»). С 01.06.2019 до подачи иска в суд споры, касающиеся ОСАГО, добровольного страхования гражданской ответственности владельцев транспортных средств (ДСАГО), добровольного страхования транспортных средств (КАСКО), должны рассматриваться финансовым уполномоченным. Для страховых организаций, осуществляющих остальные виды страхования (кроме осуществляющих ОМС), указанная обязанность предусмотрена с 28.11.2019. Для этого законодательно предусмотрен следующий порядок действий. Вам необходимо в обязательном порядке направить заявление страховщику в письменной или электронной форме, а страховщик обязан рассмотреть и направить мотивированный ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении предъявленного требования. Срок направления страховой организации мотивированного ответа составляет:"
165,http://www.cbr.ru/Reception/TopicalMessage/Page/2810,"Страхователь самостоятельно организовал ремонт поврежденного транспортного средства, застрахованного по договору добровольного страхования, и в страховую организацию предъявлены счета, подтверждающие понесенные расходы. Однако страховая организация отказывает в выплате страхового возмещения на основании предъявленных счетов. Правомерно ли это, и как страхователю поступить в этой ситуации?","Порядок урегулирования события с признаками страхового случая регламентирован условиями заключенного договора и правил страхования. При этом если договором / правилами страхования не предусмотрена выплата страхового возмещения по представленным счетам за ремонт поврежденного транспортного средства, страховая организация вправе отказать в такой выплате."
166,http://www.cbr.ru/Reception/TopicalMessage/Page/2811,"Страховая организация направила застрахованное транспортное средство на станцию технического обслуживания автомобилей (СТОА) по своему выбору. Что делать, если страхователя не устраивает данная ремонтная организация?","Станция технического обслуживания (СТО), на которой будет ремонтироваться транспортное средство, определяется по условиям договора страхования (и/или правилам страхования), заключенного между вами и страховой организацией. В случае если договор и/или правила страхования предусматривают выбор СТО на усмотрение страхователя, но страховщик отказывает в этом выборе, вы вправе обратиться с жалобой в Банк России через интернет-приемную либо в письменном виде по адресу: 107016, г. Москва, ул. Неглинная, д. 12, приложив необходимые документы."
167,http://www.cbr.ru/Reception/TopicalMessage/Page/2812,Страховая организация в связи с повреждением застрахованного транспортного средства выдает направление на ремонт на станцию технического обслуживания автомобилей. Можно ли получить страховое возмещение в денежном выражении?,"Способ выплаты страхового возмещения определяется условиями договора и правилами страхования, на основании которых заключен договор. Если условия договора предусматривают возможность выбрать в качестве страхового возмещения денежную выплату на основании экспертного заключения (калькуляции), но страховщик отказывает в данном выборе, следует направить ему досудебную претензию с обоснованием требований (и необходимыми документами), если их размер не превышает 500 000 руб. и если со дня, когда вы узнали (или должны были узнать) о нарушении своих прав, прошло не более трех лет. В случае если заявленные вопросы не будут решены, или страховщик не направит ответ в установленные сроки (не позднее 30 дней со дня получения заявления либо 15 рабочих дней со дня получения заявления, если оно направлено в электронном виде по утвержденной Советом службы финансового уполномоченного форме и со дня нарушения прав прошло не более 180 дней), вы вправе направить обращение финансовому уполномоченному через форму на его сайте или в письменном виде по адресу: 119017, г. Москва, Старомонетный переулок, д. 3 (телефон для справок 8 (800) 200-00-10)."
168,http://www.cbr.ru/Reception/TopicalMessage/Page/2813,Дорожно-транспортное происшествие произошло по моей вине. Обязана ли страховая организация выплачивать страховое возмещение в рамках договора добровольного страхования транспортных средств (договор каско)?,"Страховая организация должна осуществить выплату страхового возмещения, если такой риск был застрахован по договору страхования, при условии выполнения страхователем обязанностей, предусмотренных договором и правилами страхования, на условиях которых был заключен договор. В случае если Вами исполнены обязанности, предусмотренные договором и правилами страхования, но страховая организация отказывает в выплате возмещения, Вы можете направить обращение в Банк России. В обращении необходимо указать все имеющиеся по поставленному вопросу сведения (реквизиты договора страхования, сведения о страховом событии и др.). Также рекомендуем приложить копии документов, которые, по Вашему мнению, имеют значение для рассмотрения поставленных Вами вопросов. Кроме того, Вы имеете право обратиться с соответствующим заявлением в суд. Обращаем Ваше внимание на изменение процедуры досудебного урегулирования споров между потребителями страховых услуг и страховыми организациями в связи с началом работы уполномоченного по правам потребителей финансовых услуг (финансовый уполномоченный) (Федеральный закон от 04.06.2018 № 123 ФЗ «Об уполномоченном по правам потребителей финансовых услуг»). С 01.06.2019 до подачи иска в суд споры, касающиеся ОСАГО, добровольного страхования гражданской ответственности владельцев транспортных средств (ДСАГО), добровольного страхования транспортных средств (каско), должны рассматриваться финансовым уполномоченным. Для страховых организаций, осуществляющих остальные виды страхования (кроме осуществляющих ОМС), указанная обязанность предусмотрена с 28.11.2019. Для этого законодательно предусмотрен следующий порядок действий. Вам необходимо в обязательном порядке направить заявление страховщику в письменной или электронной форме, а страховщик обязан рассмотреть и направить мотивированный ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении предъявленного требования. Срок направления страховой организации мотивированного ответа составляет:"
